Title,Authors,Year of Publication,DOI
AIMSCM '23: Proceedings of the 2023 International Conference on AI and Metaverse in Supply Chain Management,No authors,2024,
DAIS Project - Distributed Artificial Intelligence Systems: Objectives and Challenges,"Balador, Sinaei",2023,https://doi.org/10.1145/3591335.3591348
VaMoS '24: Proceedings of the 18th International Working Conference on Variability Modelling of Software-Intensive Systems,"Kehrer, Huchard",2024,
Addressing Data Challenges to Drive the Transformation of Smart Cities,"Gilman, Bugiotti",2024,https://doi.org/10.1145/3663482
STAFFER: Skill Training Alliance for the Future European Rail System✱,"Mouelhi, Consilvio",2023,https://doi.org/10.1145/3578837.3578886
"BuildSys '23: Proceedings of the 10th ACM International Conference on Systems for Energy-Efficient Buildings, Cities, and Transportation",No authors,2023,
"ARES '22: Proceedings of the 17th International Conference on Availability, Reliability and Security",No authors,2022,
GNNet '23: Proceedings of the 2nd on Graph Neural Networking Workshop 2023,"Barlet-Ros, Casas",2023,
ICIT '22: Proceedings of the 2022 10th International Conference on Information Technology: IoT and Smart City,No authors,2023,
ICDSP '23: Proceedings of the 2023 7th International Conference on Digital Signal Processing,No authors,2023,
SIGSIM-PADS '24: Proceedings of the 38th ACM SIGSIM Conference on Principles of Advanced Discrete Simulation,"Loper, Pellegrini",2024,
"BDCAT '23: Proceedings of the IEEE/ACM 10th International Conference on Big Data Computing, Applications and Technologies","Rana, Villari",2024,
"AISNS '23: Proceedings of the 2023 International Conference on Artificial Intelligence, Systems and Network Security",No authors,2024,
Digital platforms for industrial clusters and enterprises: essence and structure,"Babkin, Tashenova",2021,https://doi.org/10.1145/3444465.3444486
ICFNDS '22: Proceedings of the 6th International Conference on Future Networks & Distributed Systems,No authors,2023,
ISEC '23: Proceedings of the 16th Innovations in Software Engineering Conference,"Agarwal, Roychoudhury",2023,
No Pie in the (Digital) Sky: Co-Imagining the Food Metaverse,"Covaci, Alhasan",2023,https://doi.org/10.1145/3544548.3581305
Survey of automation practices in model-driven development and operations,"Ponsard, Ramon",2022,https://doi.org/10.1145/3528228.3528405
Conference Reports,Dennis,2024,https://doi.org/10.1145/3655032.3655034
Tutorial on means of hybrid simulation,"Eldabi, Tako",2020,
FRAME '24: Proceedings of the 4th Workshop on Flexible Resource and Application Management on the Edge,"Coppola, Kavalionak",2024,
HOTMOBILE '24: Proceedings of the 25th International Workshop on Mobile Computing Systems and Applications,"Davies, Xu",2024,
ARCH: Automatic Roaming-contract Handler for Seamless 6G System to Provide Trusted and Highly Available Network Access,"Tēnn, Ho",2023,https://doi.org/10.1145/3570361.3615728
ICSE-Companion '24: Proceedings of the 2024 IEEE/ACM 46th International Conference on Software Engineering: Companion Proceedings,"Paiva, Abreu",2024,
CSCS '22: Proceedings of the 6th ACM Computer Science in Cars Symposium,"Brücher, Krauß",2022,
Building a Resilient and Sustainable Grid: A Study of Challenges and Opportunities in AI for Smart Virtual Power Plants,"Islam, Vu",2024,https://doi.org/10.1145/3603287.3651202
PETRA '23: Proceedings of the 16th International Conference on PErvasive Technologies Related to Assistive Environments,No authors,2023,
dg.o '23: Proceedings of the 24th Annual International Conference on Digital Government Research,"Cid, Sabatini",2023,
A data processing pipeline for cyber-physical risk assessments of municipal supply chains,Weaver,2022,
Expressive and Systematic Risk Assessments with Instance-Centric Threat Models,"Verreydt, Landuyt",2023,https://doi.org/10.1145/3555776.3577668
"ISMSI '23: Proceedings of the 2023 7th International Conference on Intelligent Systems, Metaheuristics & Swarm Intelligence",No authors,2023,
"Ten regulatory principles to scaffold the design, manufacture, and use of trustworthy autonomous systems, illustrated in a maritime context","Horne, Law-Walsh",2023,https://doi.org/10.1145/3597512.3599701
Distributed Ledger Technologies for Car Industry 4.0,Zivic,2020,https://doi.org/10.1145/3418994.3418998
Answers Begin to Surface to Deep Earth Puzzles,Edwards,2024,https://doi.org/10.1145/3640478
Variability of safety risks in production environments,"Dhungana, Haselböck",2022,https://doi.org/10.1145/3546932.3547074
"Conceptual Modeling: Topics, Themes, and Technology Trends","Storey, Lukyanenko",2023,https://doi.org/10.1145/3589338
"ESAAM '23: Proceedings of the 3rd Eclipse Security, AI, Architecture and Modelling Conference on Cloud to Edge Continuum",No authors,2023,
"Piloting Smart City Solutions in Very Small, Small and Medium-sized Municipalities. The Estonian case study.","Sarv, Soe",2022,https://doi.org/10.1145/3560107.3560179
PETRA '24: Proceedings of the 17th International Conference on PErvasive Technologies Related to Assistive Environments,No authors,2024,
Accelerating Digital Transformation of the Russian Industry and Trade,Komissarova,2021,https://doi.org/10.1145/3446434.3446472
Deep Clustering Algorithm for Load Profile Business Intelligence Dashboard for Consumer and Utility Management,Veloso,2024,https://doi.org/10.1145/3658321.3658368
"ICBAR '23: Proceedings of the 2023 3rd International Conference on Big Data, Artificial Intelligence and Risk Management",No authors,2024,
How Metaverse is Affecting Smart Cities Economy,"Chatzopoulou, Tsoutsa",2024,https://doi.org/10.1145/3635059.3635099
PCI '22: Proceedings of the 26th Pan-Hellenic Conference on Informatics,"Karanikolas, Troussas",2023,
SPBPU IDE '21: Proceedings of the 3rd International Scientific Conference on Innovations in Digital Economy,No authors,2022,
AIBDF '23: Proceedings of the 2023 3rd Guangdong-Hong Kong-Macao Greater Bay Area Artificial Intelligence and Big Data Forum,No authors,2024,
CEEeGov '23: Proceedings of the Central and Eastern European eDem and eGov Days 2023,No authors,2023,
Transforming a large medical organization towards speed and flow,Jachmann,2019,https://doi.org/10.1109/SEH.2019.00010
IMMS '23: Proceedings of the 2023 6th International Conference on Information Management and Management Science,No authors,2023,
Research on the innovative integration application of metaverse and education,"Weng, Wei, Li",2023,https://doi.org/10.1145/3599640.3599660
